,doc_freq,max_section_mean_tfidf,mean_section_mean_tfidf,sticky_score
마지막,1221,0.004911310918153914,0.0043926279673742194,206.55316847744407
기회,1570,0.006652583284179714,0.006013011226325647,205.15947905404462
생활,1159,0.004681587740863119,0.004178913408963187,203.99227343867975
주목,786,0.0028560199960766816,0.00234573332740271,203.83711723479595
차이,1247,0.005118195115201319,0.004836485966086918,203.8182791689159
목표,1372,0.005745263902503444,0.005402990647405618,203.401975049604
실제,856,0.003226805568142514,0.0027980638138345405,202.5170039643372
사용,1106,0.004462856547485384,0.003811905437329825,202.45818106080503
관리,1466,0.006288251419942881,0.005939938924868413,201.14564050144818
준비,2736,0.012638614628935355,0.011495809725025558,200.6068852620389
성공,1106,0.004548539734094802,0.0040998516251908425,199.33172564374445
방향,1183,0.0049426273447932545,0.004352037749979207,199.0701976351433
도움,1743,0.007770134934920921,0.006420384038348495,198.74266621140833
기준,2376,0.010971812690923953,0.009668726371395068,198.4661856429886
거리,840,0.0032437737609692253,0.002545180855851233,197.93703607049835
경험,1097,0.004544813369983926,0.0038262337965947507,197.84254704377543
구조,1159,0.004862220572907668,0.004302976037302212,197.70665153002503
전문가,1325,0.005769424918300498,0.004748740991437898,195.73302252278302
지적,904,0.0036187853142089434,0.0032422974715790344,195.72245482356385
고려,1464,0.006496298354832273,0.005231351366895555,195.29638905797745
사례,932,0.0037730318508401375,0.003354686191145024,195.26372945446647
핵심,1124,0.004785681435478127,0.003649674738141485,194.27270798346558
역할,850,0.0033828215350137974,0.0026392236000153235,193.9389941409796
예정,1679,0.007683348293766402,0.005930053965287327,193.3585920082602
파악,834,0.0033135160322162256,0.0030052740085232243,193.3457517651794
개인,1694,0.007763639128055336,0.006078538408157421,193.2986942121955
희망,1051,0.00444983885724408,0.0041936336097156916,192.84973877768533
활용,1127,0.004849655636090561,0.003958003162008221,192.66091375477893
강조,1058,0.0045165278051236425,0.003721501905034178,191.7873048727046
모습,1114,0.004813235465726104,0.0037570785949486707,191.63166649071135
자리,1340,0.0059960926765158535,0.004804734629989109,191.53548444234414
이제,1296,0.005790186128816709,0.005079556285537934,190.8636928964195
소통,927,0.0038677340244648224,0.0031933986399176983,190.43768524347797
실시,753,0.0029547198199743278,0.00237339146872085,190.4053976711018
적용,1251,0.005573445718888067,0.004597125211043049,190.3111478361174
전문,1753,0.008213816407992786,0.0067196188298284856,190.25775231198557
제시,1111,0.004841346306132281,0.004142325832605287,190.19587981518325
수준,2255,0.010884606292856902,0.008472402851080252,189.74124547611984
미래,1776,0.008402161439183119,0.007410774573746382,188.89273615305027
기존,1424,0.0065945188737049285,0.005496927916718388,187.50364883948367
비교,1216,0.005498335517662232,0.004367240067413798,187.12484092194958
세상,1080,0.004772968810004147,0.004583319634550884,187.07878659043442
상대,1120,0.0050187957372523975,0.003985226075174692,186.0837364969764
원인,817,0.0034029354604772776,0.002734966947057187,185.55802312656144
적극,904,0.003873034517952405,0.0029706447019198206,185.51069085795245
전환,723,0.0029122262332641796,0.0025531103173327403,184.805263523005
동시,688,0.002725282998895048,0.0021970085436359647,184.6839556092965
이름,611,0.00231295551045861,0.0021137699617077904,184.4274690895018
공개,1394,0.006571910087312992,0.005734395665242484,184.10149934766093
중심,1353,0.006373549528457699,0.004515905005760787,183.49371558137517
의지,699,0.0028198167329914975,0.0023929108480739993,182.99307240653314
정확,774,0.0032378381067830293,0.002859718392935748,182.64029453157866
지금,2535,0.012889600641739496,0.00944979089399657,182.51064702192357
마무리,915,0.004015907455540366,0.0033310364305528676,182.41963355789758
하루,2482,0.012614492734038026,0.00924025563725411,182.30572732208176
유일,581,0.002190349760419701,0.0018396682982975217,182.11169421235104
마찬가지,687,0.002773613705874706,0.0022991191871117,182.0536105565041
구성,813,0.003481809554755665,0.0029914766597918504,181.3999434976711
절반,722,0.0029912990402310062,0.0026162792529879535,180.8934867376443
존재,792,0.003382216026347216,0.0026900445655209035,180.73047865241128
장기,960,0.004312713340875016,0.0034565924642515973,180.6986258065047
차지,581,0.002215370926058716,0.0017285593243340528,180.69454920156554
조치,977,0.004410719376973509,0.003977547526201935,180.56748685911074
실질,618,0.002427960725634086,0.0022807298825555603,180.2821121545042
시점,749,0.003160778720787361,0.002596340107083489,180.01437958187395
참고,1186,0.005599344497722434,0.00455195178710836,179.7148187080266
조건,995,0.004536886550788808,0.003813992996253412,179.7038806688658
위험,856,0.0037639328818875155,0.002998494129580124,179.6834718756249
인사,718,0.0030083715586770735,0.0026974131360750666,179.12511090587856
확보,964,0.004402362946685263,0.0034829458205019566,178.44043606723667
결론,842,0.003734845031829104,0.003047232698103206,177.83052968783846
반복,526,0.0019672011222779716,0.00187778926703243,177.27143470348267
국가,2273,0.011826266591241337,0.00894459866749542,177.2144671897091
사태,1637,0.008251885101551865,0.007226634256395668,176.93691415659904
전망,1373,0.006780210028870633,0.005773137293891761,176.4733850249674
변화,1832,0.00940084143760283,0.00874449334834048,176.1395951462785
걱정,1753,0.008987302117242331,0.008322450916907326,175.52287689120533
언급,814,0.003641110534142938,0.002827857919669155,175.38905699653182
글로벌,624,0.002559005980191792,0.0022838813190262544,175.3298543112797
판단,1377,0.006861992792253263,0.005330520732341172,175.146433784169
바탕,500,0.0018570015330340718,0.0017274387206983005,175.0086565298448
일반,1941,0.010113465150527747,0.008368443671778043,174.6529973963906
일정,1068,0.005119046149529072,0.004213935195629863,174.5370068964416
정신,916,0.0042502870366483625,0.003744879288838427,174.46665174800594
인식,643,0.0026916084403400945,0.0021946238650298383,174.17881944726585
요구,1435,0.007251369898859442,0.005644656556806436,173.9105163856919
도입,945,0.004434654148056316,0.003601245876852422,173.8841100565665
마련,1088,0.005261122165499229,0.0034273207705106806,173.77076684355808
위치,585,0.0023713096094337533,0.002146401962442517,173.5230719726916
연속,532,0.002067409796957959,0.0018635324169508113,173.43623291794927
주도,579,0.002340748089435352,0.0019219472412517124,173.31447463249515
어려움,541,0.002130778118333965,0.0018596621340555473,172.80049225842032
부담,1261,0.006298554855801927,0.004298484746032849,172.77392921114765
가운데,1182,0.0058523956630844864,0.004490575295943345,172.49441773593432
자격,821,0.0037650723495833115,0.0035176430976224865,172.29539024140809
현실,1971,0.010443112900836328,0.007855485254358002,172.2433412201979
급증,553,0.0022109036152614977,0.002012364646553805,172.2256617643639
국제,677,0.0029363691619787146,0.0025839588138409668,171.98590176427686
요소,538,0.0021301152881213294,0.0019801022695889606,171.87865317347573
비판,988,0.004755061263668918,0.0041357363593807865,171.67497524954905
향후,715,0.003174766971736742,0.002729935456816488,171.2670443262018
공동,523,0.002057291353205463,0.0018053160513267002,171.06645706227928
회복,600,0.0025126257516831937,0.00200731447258818,170.81239005108634
유익,608,0.002560169154563333,0.0022654370797530587,170.7784022623423
위기,913,0.004347566595434904,0.003541717707480059,170.73186162457654
제도,1364,0.006995878568941102,0.005683183892641221,170.58788327505016
출신,1023,0.004997595903449808,0.004516113227797848,170.5683437944814
본격,704,0.0031323489219506418,0.0021972255780511947,170.36315502314417
요즘,1479,0.007697333286822943,0.005795665464713983,170.0521241655516
우려,1435,0.007445350222048829,0.005727360646505676,169.9159848046978
한계,469,0.001761141914466375,0.0015333932787879798,169.857259977396
나머지,616,0.0026309199258078985,0.0023216741730574613,169.65397546268852
영향,2009,0.010849267411019313,0.008732994251725556,169.546346648546
안전,828,0.003888247411454778,0.0028730193833544217,169.3858617016239
인정,1081,0.005381998374192186,0.004156833431344634,169.38268182132367
책임,1231,0.006274360088086629,0.005418495679239327,169.22450704853537
사회,2329,0.012764971910183978,0.010096821931611261,169.19758465158185
정치,1989,0.010806862741773653,0.00982182837062064,168.46134688792088
주변,831,0.003933838435235824,0.003501943430048118,168.42870128565133
전국,2271,0.012511480896336143,0.009289264726334323,168.0792814217588
목소리,878,0.004226302863684849,0.003341501442650015,167.99638729336073
시대,1165,0.005935632236301408,0.004871242147126258,167.97315086897748
사진,862,0.004136804682791758,0.0036668086280961538,167.8085995536663
시스템,1492,0.007895479813971915,0.00652034192368333,167.72563495187205
보장,869,0.004183232764239534,0.003170291132928734,167.65598604705855
발견,407,0.001429523922525864,0.0013057695791240738,167.52253238851046
이슈,1627,0.008712177607463642,0.006891793938588874,167.52164815743058
유리,876,0.004231336419719332,0.003807331599708225,167.4524308354458
경영,581,0.002484458617198602,0.0022704552638690093,166.74039322272284
구체,800,0.0037991053929217213,0.0029202890663853117,166.6977352028845
덕분,500,0.0019997158720801386,0.0018796618849708136,166.68245304622045
담당,466,0.0018004594905426628,0.0016706520027292614,166.4012643545507
확장,388,0.0013350812143576927,0.001207833406916586,166.16124424894
특정,602,0.002623844850130612,0.0022708475320209988,166.12190226033064
기억,598,0.0026022219982872415,0.0022585645971603214,166.00864696410514
계획,2229,0.012429385830745356,0.009166551454921477,165.97929556070298
세계,1377,0.007302517325928108,0.005538943646870535,165.85331242847727
신경,547,0.002302290788524296,0.00207045408761241,165.64259025912114
본인,1552,0.008371048904619727,0.007007341098477157,165.6164657549591
상당,439,0.0016511150668108447,0.0015315703128655769,165.59070011551572
방문,1190,0.006192583590264739,0.004481718230739231,165.44819883785314
공식,629,0.002803346847833015,0.0024404069298527386,165.38065687024505
무시,672,0.0030637277940265832,0.0028448452784577295,165.36540685323374
전달,642,0.0028837773613466875,0.002163236734156137,165.30298734152683
비중,700,0.0032346877625690725,0.0028880829064114434,165.30144351784008
가치,739,0.003476421821210557,0.0027366773348903315,165.08721240219324
오후,925,0.0046148631271134095,0.003878497827988546,164.74132655759692
목적,1084,0.005586491489009731,0.004404785605952605,164.57927590262136
참여,1222,0.006426840743193995,0.005317128579067527,164.5383336272356
기관,1235,0.006518591214630279,0.0049182840637390845,164.25949552847584
속도,707,0.003307037893224466,0.002621376408601841,164.14993727178566
종합,1772,0.009802550790253894,0.007978459542972357,164.0353315069535
조정,1270,0.006752214586583371,0.005432737055625454,163.82415448070387
전쟁,650,0.002970082338505868,0.0026033342816000186,163.7245640211649
등장,389,0.0013832654555540054,0.0012434021451836104,163.22143179370443
신뢰,550,0.0023753541882786666,0.002177292423945624,162.9458626623371
정성,742,0.0035538675246019214,0.0031043025564284803,162.93842453505766
해외,862,0.004311495541347514,0.0034540678417889063,162.28950834839873
배경,522,0.0022203673774274773,0.0017526144477846256,162.09330763280454
특성,448,0.0017687527997340543,0.0015308285730584919,161.80570545807902
진입,459,0.001837367312471262,0.0015338397878043176,161.76967923135223
업체,586,0.002623231695873546,0.0022680718969930254,161.73406759147866
기록,1118,0.005924085899075265,0.004013000138357204,161.46535676995467
충격,428,0.001654634831641534,0.001562315007307021,161.22744827217522
안정,1059,0.005576479450966883,0.004204111750500814,161.0284055315195
완화,624,0.0028789799615767594,0.0024564570946335102,160.8670336482871
완전,395,0.0014575176296463717,0.0013982898678220747,160.73129862219508
가족,1077,0.0057011952148183125,0.00431042596581933,160.71759820075624
과거,737,0.003589380834097915,0.0027234551652246444,160.58811125986327
효율,474,0.001955337911563657,0.001598687822005303,160.3877506343119
소리,1045,0.005528969679247015,0.0047747774576795896,160.05588191374778
이익,1004,0.005274656614620722,0.004133822166671601,160.0087561222962
성장,883,0.004523946761325864,0.003883278193643992,159.84947685992205
예전,665,0.0031678000862467703,0.0029896911633350166,159.55659730283574
고민,1400,0.007778920000384976,0.006313380650115799,159.47291921313862
유명,432,0.001712734914395104,0.0016192741913683773,159.24888115959868
의견,2096,0.012167488221833209,0.009505813806486149,159.1799411314142
경쟁력,464,0.0019163620100511888,0.0017489598503550433,159.1023331125671
연결,487,0.0020680075168765296,0.0018353160087990392,158.73494354922698
최선,723,0.0035558057836110476,0.00272477856873934,158.69860005905076
직전,411,0.001590935891233995,0.0011926786913007135,158.6299380816603
진단,559,0.00252882577209503,0.0021960789955678345,158.40963428130004
구분,446,0.0018196145823505716,0.001494233013875842,158.17764697052746
소개,621,0.002928783114667049,0.0020918117376185355,158.06421018296084
능력,1113,0.00605652368409925,0.004567216539136641,157.726389058676
보호,621,0.002938788002843982,0.0024458947688350057,157.662712375383
통합,793,0.004032431112102191,0.003691164279229823,157.57791459737265
요청,767,0.0038680998912816503,0.003046527809610353,157.5563396662487
역대,854,0.004424008654683254,0.003834876350511735,157.4481263525696
온라인,597,0.0027937408596173273,0.002312350177269519,157.36446480960197
졸업,1321,0.00739642061381555,0.006308501867450298,157.32894536350574
역사,566,0.002599134103632347,0.0020916782703329856,157.26004747330114
조성,361,0.0012982224379401181,0.0011307147227199242,157.07791989167157
증가,2258,0.013388179621848066,0.01149438278513848,156.93437664423422
얘기,1409,0.007985227577252755,0.007134695246633883,156.81294523547322
단계,880,0.004613900437009189,0.003974598176358787,156.75375968527524
입장,2120,0.012545407249269391,0.009256820503888269,156.51061359667483
개최,483,0.002092940673071672,0.0017512946786885164,156.16206421454615
처리,817,0.00423473762380761,0.0036158098176604994,156.0727697763266
압박,568,0.0026405479237420993,0.0019279126556080617,156.0204705164699
