,doc_freq,mean_tfidf_in_corpus,sticky_score
실제,118,0.002764065686642108,31.349080973469096
중심,162,0.0042674633209938565,30.75484158652558
경험,141,0.0037075720382043565,29.951745582587552
고려,182,0.00518729484815189,29.415116697463084
핵심,125,0.0032750405374982593,29.239488819712946
수준,292,0.00906323325578437,29.016519102561567
존재,92,0.002180199824603151,28.928999771729895
개인,213,0.006396880206894443,28.795923962844245
자리,173,0.005094695179944476,28.385340840224938
방향,159,0.004654865167584664,28.117381279298108
현실,260,0.008263236396414365,28.067943953221512
활용,151,0.00439512260452535,27.988242542133037
적용,156,0.004576321661962044,27.975430661421168
인정,142,0.004093361823203944,27.879425206567376
지금,274,0.008836883130033177,27.85435146255274
사례,119,0.00333505297847627,27.45064491503109
부족,262,0.008549868811705509,27.434931847321312
확보,99,0.0026112006168291647,27.414705109052488
마무리,112,0.003085850681388575,27.411672313472025
참고,183,0.005704302851897767,27.29590295107249
주목,75,0.0017562662166959542,27.210724256492714
의견,295,0.009864325878467205,27.153088309388977
예정,177,0.005523530562755356,27.13254706133241
이제,177,0.005524150739147839,27.129967880404784
하루,208,0.006694726750328896,27.031499200554386
기회,176,0.005549599287903651,26.871872959472736
동시,89,0.002312050611218794,26.87157004743025
상대,130,0.0038463402353944524,26.824365126196938
실시,70,0.0016103057894991796,26.816781498013835
조건,140,0.0042268030988022905,26.785015114129834
단순,109,0.0030735084137579935,26.75826067570157
활동,262,0.008792790132357144,26.754377093644106
전문가,135,0.004075649825694994,26.59757954864722
회원,365,0.012757393084782657,26.531189284962295
비교,175,0.005605765980169328,26.49200721390287
원인,95,0.0025911253093936406,26.454103328418995
정확,113,0.0032814437231903234,26.39296632300422
역할,82,0.0021069856284646683,26.3921401015687
최종,145,0.004507230568354968,26.32902294543155
구조,146,0.004562070923127402,26.249215807896988
요소,82,0.002129209794456489,26.204698753425237
마지막,158,0.005034141593952997,26.184337496875575
차이,167,0.0053888108363550425,26.139449778306034
준비,332,0.011767820967795634,26.002870876511032
의지,85,0.00226940547295612,25.99861066579331
목소리,92,0.0025395876021607434,25.991728512055627
당시,77,0.0019628655581270856,25.988354344594008
입장,242,0.008336992220646324,25.918410798809504
목적,170,0.005592654606097704,25.786274294236943
대한민국,326,0.011651278244109995,25.768147195068963
파악,106,0.003119175167771404,25.73330719930251
제시,113,0.003393562972815017,25.719444719281974
강조,108,0.0031996449194618922,25.71645986057274
마찬가지,86,0.002345890767721069,25.703170237854405
정성,103,0.0030250410081249686,25.589801393845097
최대,322,0.011634942639821462,25.484880238803363
특성,62,0.0014377758393175706,25.433019312126845
정치,297,0.010690601119443383,25.405023827734603
이야기,215,0.007465868975195567,25.396093493761324
이용,392,0.014497245101075758,25.294818365671258
성공,147,0.004816244945788808,25.27403872603987
기록,118,0.0036957020311034847,25.12936281271453
위기,87,0.0024664212868563858,25.09793034386141
시점,91,0.0026272343542038806,25.087984705077883
졸업,176,0.006029766602249724,25.036393092151172
자녀,99,0.0029590325649679725,25.006109036842663
부탁,133,0.0043198211736634115,25.0008403775745
제도,162,0.005483732078407931,24.98560983719408
실질,85,0.0024055183932475727,24.959489330181608
지적,91,0.002655685715934834,24.892730686157858
신경,81,0.002262681409557917,24.82620575907693
전반,90,0.002630145852628253,24.79239227670131
전국,227,0.0081663568527105,24.764473350486664
가치,84,0.0023963803831387673,24.73221209762475
기준,295,0.010931331456576937,24.724818103799006
세계,127,0.0041369223505749245,24.722974445153167
부담,105,0.0032488405910757875,24.712624008662676
보장,90,0.0026436993895780636,24.700171550217235
생활,149,0.005039949713476543,24.669079556663544
적극,86,0.0024906777366999334,24.637049446249915
세상,137,0.004562736171409385,24.628167825778696
소개,59,0.001396466315463374,24.61958243239147
최소,96,0.0029039270760827553,24.590623269614834
범위,149,0.005064280993669781,24.570101576020985
모습,92,0.002759089827484618,24.474009460306373
사태,172,0.006028550568705006,24.47161734395696
치열,106,0.003334652623767838,24.454093372737432
시행,114,0.0036702521470495606,24.409816945755207
결정,296,0.011126720416687951,24.408907753217875
허용,170,0.005965995207812079,24.404265999114088
전문,165,0.005762402507974235,24.399612387081625
이름,79,0.002239235914070767,24.38846755706664
현상,139,0.004699523636213752,24.388003080962573
발전,93,0.002819558188527352,24.348365808207934
나이,80,0.0022868023356753604,24.3397660795327
평균,161,0.005625086360606569,24.301570007799782
이익,110,0.0035449664714829886,24.202598784872407
인식,69,0.001857419328605309,24.147663351069486
계획,212,0.007799239707156363,24.09299065095156
질문,209,0.0076915496464234605,24.046344840934402
압박,70,0.0019131392802396755,24.029060496634003
결론,92,0.0028303728554975806,24.018549491325913
목표,173,0.006207748827403236,24.00194625848628
희망,136,0.00466890434913287,23.990526497559078
자유,220,0.008175369065663414,23.9772371471461
구성,94,0.002928498907380323,23.9277144314348
정상,199,0.007321752997102478,23.913230790350195
주변,108,0.003519970051085987,23.8939636279341
능력,128,0.00435817968818785,23.888709869543387
나머지,89,0.002726391472104152,23.883695705686304
규모,190,0.00696668173170138,23.849327285655633
조치,121,0.004079589975039694,23.820820301357976
본인,226,0.008493611662254692,23.805481837702004
일반,270,0.010349948613355656,23.788653957629986
마련,71,0.001985841221649155,23.778893360171686
예전,100,0.003205763023998935,23.776898372395152
가족,101,0.003249020750465067,23.770182809520353
구체,83,0.002493641941518565,23.757443203788302
방문,80,0.0023685410734166435,23.749153789850514
기존,186,0.006837446032146108,23.732220832794443
언급,92,0.0028802482586723576,23.7098231522635
바탕,63,0.001658421579582639,23.69827287133696
반대,228,0.00862587721139928,23.686152959648695
얘기,214,0.008069802084537238,23.59478167278209
전환,81,0.002434697127678819,23.582865384913895
요즘,144,0.005119709141812722,23.530530073091953
행복,117,0.003976891885729835,23.508648105351114
선택,346,0.013752822797539898,23.453138748314466
주도,63,0.001686575973341893,23.44992310849593
사용,95,0.003057138134540134,23.41552021392242
도움,220,0.008407713511437745,23.385065853942894
연속,60,0.0015720982512362838,23.327258191307774
느낌,100,0.0032906499506236493,23.306492291561778
변화,249,0.00969084538791247,23.290955108333165
사고,97,0.003165555742831995,23.286208608999086
응원,288,0.011368527849479679,23.284905326232145
학부모,364,0.014643514430565274,23.268428690729117
해외,91,0.002916371200677609,23.23579541802759
안정,131,0.004642352638774553,23.217265631318558
검토,108,0.0036575351830896658,23.188230631541064
조정,130,0.004607159615412298,23.18464408301689
행정,67,0.0018905107692699127,23.179294369805415
영향,282,0.011171698240075948,23.168500766105126
도입,114,0.003924398918007566,23.150033516400196
의심,61,0.001635985179444776,23.141253022085873
인간,97,0.0031999816647277027,23.095338918887585
사회,254,0.010019012963197954,23.051066447451
체계,108,0.003688623568271836,23.034478760641335
진심,78,0.002396683586218968,22.96357550537288
구분,53,0.0013105397870550176,22.9383628435817
분야,125,0.004450606027966727,22.933229692007206
무시,95,0.003146007317195045,22.913611272705534
세부,49,0.0011394022245497979,22.90359402160164
규정,267,0.010662042046349584,22.894789689390247
걱정,234,0.009226562749829553,22.881588440250866
표현,170,0.0064374950211719155,22.85715815823341
국가,210,0.008192980231519957,22.843516978310614
공개,151,0.005610300549806015,22.84313683807179
사진,92,0.0030276750604107767,22.841961831602433
요구,134,0.004873160801576486,22.81565319376773
개선,128,0.0046135773310911135,22.801859215702756
해결,248,0.00988596198360879,22.781633848567406
국제,92,0.0030608121902900086,22.655566347043916
단체,125,0.0045355356105196,22.58137401599458
근거,122,0.0044059139352630805,22.567876858746704
미래,207,0.008188541879960348,22.52805752036179
수치,65,0.001889029110974036,22.498907938689914
최선,84,0.0027366600114797444,22.479968673075877
해소,75,0.002339493922096066,22.458492738601997
선생,300,0.012365692234316914,22.445526557145975
일정,107,0.003771654308352956,22.42408881395548
고생,108,0.0038203404504345757,22.405056470702874
고민,201,0.007981043818211674,22.38047203292942
협력,53,0.001370673411657629,22.356516818966302
기억,71,0.002176744304203448,22.349925962266855
체제,61,0.0017294573991981563,22.348764270114717
실패,110,0.003925352653493428,22.33342620085889
현장,120,0.004373603448319243,22.33138361512955
시설,69,0.0020906740388949275,22.32522716134471
시스템,159,0.006123260316899279,22.321239562561985
판단,153,0.005854686977570358,22.32049406495741
안전,69,0.002095714530873824,22.288876868928686
조심,77,0.002458693825556554,22.26273960159211
강화,111,0.003990445079592406,22.242505073127845
비난,148,0.005658059671796256,22.22869834389327
대입,354,0.014938132652206641,22.210883026562623
발표,304,0.012692537579621691,22.201874432131312
내부,74,0.0023346494801827346,22.191237921637537
전망,149,0.005716896407727124,22.18286407225073
충격,58,0.001617779172124416,22.156185142588267
한계,54,0.001437259717034408,22.15603024272922
생명,132,0.004958595130905699,22.152872799722534
언론,89,0.0030191007791901636,22.144256859847452
방안,106,0.0037893012473707707,22.132664980761408
실력,100,0.003519601405590947,22.125844964181038
전달,61,0.0017597920812792486,22.10311436639989
우리나라,125,0.00465881209024369,22.089441742642673
책임,148,0.005703903553639321,22.07668991891386
흐름,72,0.002262660851368671,22.067877502436804
제기,64,0.0019009290081890764,22.061898040018708
